mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,16,8,1,xy,1,mvo,0.2,0.1,2.447224031942955,-0.016453963249735585,2.4636779951926906,12.266687495607394,7.876131620947512e-05,0,16,,0.3372359275817871,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,1,xy,1,mad,0.2,0.1,2.4578598552821753,0.0020534853669828654,2.4558063699151926,12.276417479661063,7.692546201463801e-05,0,16,,0.8454220294952393,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,1,xy,1,mvo_tc,0.2,0.1,2.447987729983424,-0.015574939574450893,2.463562669557875,12.267433176978654,7.876606856018913e-05,0,16,,0.559952974319458,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,2,xy,1,mvo,0.2,0.1,5.650181445433177,-0.016453963249735585,5.666635408682913,28.280922034023686,5.124956759829527e-06,0,32,,0.6045632362365723,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,2,xy,1,mad,0.2,0.1,5.647248855888285,0.0020534853669828654,5.645195370521302,28.22329329013487,9.042488680949351e-05,0,32,,1.12382173538208,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,2,xy,1,mvo_tc,0.2,0.1,5.64948520699414,-0.015574939574450893,5.6650601465685915,28.274371423230978,5.122761312847969e-06,0,32,,0.8345091342926025,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,3,xy,1,mvo,0.2,0.1,10.808353048494299,-0.016453963249735585,10.824807011744035,54.070912075289215,0.00017225739698390084,0,48,,0.8751621246337891,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,3,xy,1,mad,0.2,0.1,10.807160274863914,0.0020534853669828654,10.805106789496932,54.02274554081722,2.196287722284215e-06,0,48,,1.3915319442749023,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,3,xy,1,mvo_tc,0.2,0.1,10.809646716155507,-0.015574939574450893,10.825221655729958,54.074312320363035,0.00017215214834202482,0,48,,1.101633071899414,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,4,xy,1,mvo,0.2,0.1,14.090654120800181,-0.016453963249735585,14.107108084049917,70.48175572654505,5.587579952139706e-05,0,64,,1.1454977989196777,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,4,xy,1,mad,0.2,0.1,14.07526802814023,0.0020534853669828654,14.073214542773247,70.36317774605394,6.051808909036367e-05,0,64,,1.6654820442199707,bruteforce,0,0.0,depolarizing,expectation,
standard,16,8,4,xy,1,mvo_tc,0.2,0.1,14.09035091720056,-0.015574939574450893,14.105925856775011,70.47718328990744,5.5914348172393653e-05,0,64,,1.370920181274414,bruteforce,0,0.0,depolarizing,expectation,
adapt,16,8,1,xy,1,mvo,0.2,0.1,-0.006683970705590902,-0.016453963249735585,0.009769992544144682,-0.0024112756964587735,7.936080640479187e-05,0,1,1,0.277163028717041,,0,0.0,depolarizing,expectation,ring
adapt,16,8,1,xy,1,mad,0.2,0.1,0.0033506384270078366,0.0020534853669828654,0.0012971530600249712,0.0039313884931146134,7.895446686779989e-05,0,1,1,0.8029100894927979,,0,0.0,depolarizing,expectation,ring
adapt,16,8,1,xy,1,mvo_tc,0.2,0.1,-0.005921766423893559,-0.015574939574450893,0.009653173150557333,-0.0016758981479423364,7.935917888245778e-05,0,1,1,0.5050559043884277,,0,0.0,depolarizing,expectation,ring
adapt,16,8,2,xy,1,mvo,0.2,0.1,-0.00669014266548585,-0.016453963249735585,0.009763820584249735,-0.00241656964177959,7.970755821311576e-05,0,2,2,0.7067630290985107,,0,0.0,depolarizing,expectation,ring
adapt,16,8,2,xy,1,mad,0.2,0.1,0.003345206838548662,0.0020534853669828654,0.0012917214715657964,0.00392125668290283,7.899551978601201e-05,0,2,2,1.2260870933532715,,0,0.0,depolarizing,expectation,ring
adapt,16,8,2,xy,1,mvo_tc,0.2,0.1,-0.005927808563377364,-0.015574939574450893,0.009647131011073527,-0.0016810582051018372,7.970216616613093e-05,0,2,2,0.9331178665161133,,0,0.0,depolarizing,expectation,ring
adapt,16,8,3,xy,1,mvo,0.2,0.1,-0.00669014266548585,-0.016453963249735585,0.009763820584249735,-0.00241656964177959,7.970755821311576e-05,0,2,2,1.338001012802124,,0,0.0,depolarizing,expectation,ring
adapt,16,8,3,xy,1,mad,0.2,0.1,0.003342454528683941,0.0020534853669828654,0.0012889691617010758,0.003917951578203011,0.00011710978951446492,0,3,3,1.856166124343872,,0,0.0,depolarizing,expectation,ring
adapt,16,8,3,xy,1,mvo_tc,0.2,0.1,-0.005927808563377364,-0.015574939574450893,0.009647131011073527,-0.0016810582051018372,7.970216616613093e-05,0,2,2,1.5693421363830566,,0,0.0,depolarizing,expectation,ring
adapt,16,8,4,xy,1,mvo,0.2,0.1,-0.00669014266548585,-0.016453963249735585,0.009763820584249735,-0.00241656964177959,7.970755821311576e-05,0,2,2,1.338710069656372,,0,0.0,depolarizing,expectation,ring
adapt,16,8,4,xy,1,mad,0.2,0.1,0.003342454528683941,0.0020534853669828654,0.0012889691617010758,0.003917951578203011,0.00011710978951446492,0,3,3,2.7068490982055664,,0,0.0,depolarizing,expectation,ring
adapt,16,8,4,xy,1,mvo_tc,0.2,0.1,-0.005927808563377364,-0.015574939574450893,0.009647131011073527,-0.0016810582051018372,7.970216616613093e-05,0,2,2,1.5707728862762451,,0,0.0,depolarizing,expectation,ring
