seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p
10,standard,8,4,2,xy,0,mvo,-0.00820304487693777,-0.013537433286355175,0.005334388409417405,-0.0037599320924769854,0.02912774570840569,0,16,2,0.009781122207641602,0,0.0
20,standard,8,4,2,xy,0,mvo,-0.0018640143010591565,-0.006130025279275571,0.004266010978216415,0.0011747464222467271,0.04357054510534211,0,16,2,0.009016990661621094,0,0.0
30,standard,8,4,2,xy,0,mvo,0.0024876185795110004,-0.005121623326439054,0.007609241905950055,0.007555114183728201,0.00489336710785482,0,16,2,0.009411096572875977,0,0.0
40,standard,8,4,2,xy,0,mvo,-0.003862027057651849,-0.011514593951606547,0.007652566893954698,0.0014801656409786385,0.031493131194086525,0,16,2,0.008996248245239258,0,0.0
50,standard,8,4,2,xy,0,mvo,0.002516017034783705,-0.002385303143334058,0.0049013201781177625,0.006110772156632306,0.014477075480035108,0,16,2,0.009390115737915039,0,0.0
10,adapt,8,4,2,xy,0,mvo,-0.008175542942486437,-0.013537433286355175,0.005361890343868738,-0.004176488701452936,0.014285714285714289,0,2,2,0.008309364318847656,0,0.0
20,adapt,8,4,2,xy,0,mvo,-0.0018543822477498492,-0.006130025279275571,0.004275643031525722,0.00100996422508873,0.014321845315893934,0,2,2,0.008121013641357422,0,0.0
30,adapt,8,4,2,xy,0,mvo,0.002494378340700695,-0.005121623326439054,0.007616001667139749,0.007148433050909978,0.01433370215044904,0,2,2,0.00813603401184082,0,0.0
40,adapt,8,4,2,xy,0,mvo,-0.003820524361500936,-0.011514593951606547,0.0076940695901056115,0.0010830657437703173,0.014416454116959871,0,2,2,0.00814199447631836,0,0.0
50,adapt,8,4,2,xy,0,mvo,0.0025280086678858564,-0.002385303143334058,0.004913311811219914,0.00598398344054031,0.014365159363188948,0,2,2,0.007974863052368164,0,0.0
10,standard,12,6,2,xy,0,mvo,-0.008229143081426025,-0.016377773558908123,0.008148630477482098,-0.0032995561651658093,0.004250552519223261,0,24,2,0.03849983215332031,0,0.0
20,standard,12,6,2,xy,0,mvo,0.001651668766437095,-0.007780343701441526,0.009432012467878621,0.006336481954591765,0.0002688753227069542,0,24,2,0.03470492362976074,0,0.0
30,standard,12,6,2,xy,0,mvo,0.0009097060882948785,-0.007594810763814287,0.008504516852109165,0.0061771176787133,0.0005944027105058269,0,24,2,0.03515911102294922,0,0.0
40,standard,12,6,2,xy,0,mvo,-0.006919504271898998,-0.01730773012908517,0.010388225857186172,-0.0015176813065056903,0.00018830901976133032,0,24,2,0.03494000434875488,0,0.0
50,standard,12,6,2,xy,0,mvo,-0.003448758745339637,-0.013192114766273215,0.009743356020933578,0.0018869724767857682,4.26117507741758e-05,0,24,2,0.0348970890045166,0,0.0
10,adapt,12,6,2,xy,0,mvo,-0.008210847167618909,-0.016377773558908123,0.008166926391289214,-0.0034627381148368366,0.001080031380593801,0,2,2,0.03231620788574219,0,0.0
20,adapt,12,6,2,xy,0,mvo,0.0016754002745533274,-0.007780343701441526,0.009455743975994853,0.006341024919368857,2.8196366856635144e-06,0,2,2,0.03161215782165527,0,0.0
30,adapt,12,6,2,xy,0,mvo,0.0009358219422207025,-0.007594810763814287,0.008530632706034989,0.005633437318998992,0.0010928372217914508,0,2,2,0.031896114349365234,0,0.0
40,adapt,12,6,2,xy,0,mvo,-0.006872070649841614,-0.01730773012908517,0.010435659479243556,-0.0013808372121712307,0.0010924678373088635,0,2,2,0.03160905838012695,0,0.0
50,adapt,12,6,2,xy,0,mvo,-0.00343129941226756,-0.013192114766273215,0.009760815354005654,0.0016015664075567596,6.37236356159905e-05,0,2,2,0.031540870666503906,0,0.0
10,standard,16,8,2,xy,0,mvo,-0.012925653898131636,-0.024844118423671912,0.011918464525540276,-0.007629601051961775,4.2554422556098604e-05,0,32,2,0.2901461124420166,0,0.0
20,standard,16,8,2,xy,0,mvo,0.0008792153450260453,-0.010394533890121509,0.011273749235147554,0.0059244269368318005,4.725553444815725e-06,0,32,2,0.2897799015045166,0,0.0
30,standard,16,8,2,xy,0,mvo,0.0029746506401316496,-0.007447133152424047,0.010421783792555697,0.007148924451533727,2.6166179821711425e-06,0,32,2,0.2861037254333496,0,0.0
40,standard,16,8,2,xy,0,mvo,-0.012009595546209697,-0.02277296623291988,0.010763370686710183,-0.0070186985642367,2.1699085213163376e-05,0,32,2,0.2874929904937744,0,0.0
50,standard,16,8,2,xy,0,mvo,-0.005544225939103215,-0.019882650567062995,0.01433842462795978,0.0005759343584891905,4.365924745053041e-05,0,32,2,0.2893087863922119,0,0.0
10,adapt,16,8,2,xy,0,mvo,-0.012891426566781007,-0.024844118423671912,0.011952691856890905,-0.007586704109935652,8.123245099809546e-05,0,2,2,0.3534846305847168,0,0.0
20,adapt,16,8,2,xy,0,mvo,0.0009169073094741448,-0.010394533890121509,0.011311441199595653,0.005446937497711236,1.0697555900991974e-05,0,2,2,0.3637418746948242,0,0.0
