mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,12,6,1,xy,0,mvo,0.2,0.1,0.2945073991289378,-0.012274187829634312,0.3067815869585721,1.498423352239483,0.003412328905182864,0,12,,0.13062191009521484,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,xy,0,mad,0.2,0.1,0.30381790836229633,0.0024528233337534973,0.3013650850285428,1.50449955161436,0.0010821658864798534,0,12,,0.1623520851135254,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,xy,0,mvo_tc,0.2,0.1,0.29508546060680246,-0.011806842297822497,0.30689230290462494,1.4990622177323376,0.0014714848640330464,0,12,,0.13796401023864746,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,xy,1,mvo,0.2,0.1,1.3391399941269606,-0.012274187829634312,1.351414181956595,6.721066251994013,0.0011048164012392478,0,12,,0.05173087120056152,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,xy,1,mad,0.2,0.1,1.3484208991778188,0.0024528233337534973,1.3459680758440653,6.727487901736991,0.0010969039951841256,0,12,,0.08635592460632324,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,xy,1,mvo_tc,0.2,0.1,1.339720334810651,-0.011806842297822497,1.3515271771084736,6.721698825347451,0.001099933597823264,0,12,,0.0666201114654541,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,x,0,mvo,0.2,0.1,0.7830569421439745,-0.012274187829634312,0.7953311299736088,3.9407296470948716,0.001076135036591618,12,0,,0.022864818572998047,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,x,0,mad,0.2,0.1,0.7923547821950148,0.0024528233337534973,0.7899019588612612,3.9471721806305635,0.0010761350038818549,12,0,,0.05629706382751465,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,x,0,mvo_tc,0.2,0.1,0.783635727489443,-0.011806842297822497,0.7954425697872655,3.9413565904445527,0.0010761350391589463,12,0,,0.03637290000915527,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,x,1,mvo,0.2,0.1,0.7830441174928517,-0.012274187829634312,0.795318305322486,3.940714091085149,0.0010908751471844244,12,0,,0.023623943328857422,bruteforce,0,0.001,depolarizing,expectation,
