seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p,objective,pairs_mode
10,standard,8,4,2,xy,0,mvo,-0.008203044876937775,-0.013537433286355175,0.0053343884094174,-0.0037599320924769845,0.02912774570840567,0,16,2,0.02029871940612793,0,0.0,expectation,all
20,standard,8,4,2,xy,0,mvo,-0.001864014301059157,-0.006130025279275572,0.004266010978216415,0.0011747464222467265,0.043570545105342105,0,16,2,0.016244888305664062,0,0.0,expectation,all
30,standard,8,4,2,xy,0,mvo,0.002487618579510999,-0.005121623326439055,0.007609241905950054,0.0075551141837282,0.004893367107854819,0,16,2,0.014439821243286133,0,0.0,expectation,all
40,standard,8,4,2,xy,0,mvo,-0.003862027057651851,-0.011514593951606547,0.007652566893954696,0.0014801656409786379,0.03149313119408653,0,16,2,0.025806665420532227,0,0.0,expectation,all
50,standard,8,4,2,xy,0,mvo,0.0025160170347837043,-0.002385303143334059,0.004901320178117763,0.006110772156632304,0.01447707548003508,0,16,2,0.018451690673828125,0,0.0,expectation,all
10,adapt,8,4,6,xy,0,mvo,-0.008198963627357649,-0.013537433286355175,0.005338469658997527,-0.003794158485309942,0.02855913211730882,0,4,4,0.1668105125427246,0,0.0,expectation,all
20,adapt,8,4,6,xy,0,mvo,-0.001859521036930713,-0.006130025279275572,0.004270504242344859,0.0013013308199978683,0.014313118074796726,0,2,2,0.07117319107055664,0,0.0,expectation,all
30,adapt,8,4,6,xy,0,mvo,0.002483007668809367,-0.005121623326439055,0.007604630995248422,0.006682815758548596,0.0032716426087453965,0,5,5,0.23245716094970703,0,0.0,expectation,all
40,adapt,8,4,6,xy,0,mvo,-0.0038180702834050015,-0.011514593951606547,0.0076965236682015456,0.0011214763098955024,0.01434599769774221,0,2,2,0.07990336418151855,0,0.0,expectation,all
50,adapt,8,4,6,xy,0,mvo,0.0025086511197163048,-0.002385303143334059,0.0048939542630503634,0.005998114214916021,0.019124425227252873,0,5,5,0.23396682739257812,0,0.0,expectation,all
10,standard,12,6,2,xy,0,mvo,-0.008229143081426023,-0.016377773558908123,0.0081486304774821,-0.0032995561651658076,0.004250552519223261,0,24,2,0.04985857009887695,0,0.0,expectation,all
20,standard,12,6,2,xy,0,mvo,0.001651668766437095,-0.007780343701441528,0.009432012467878623,0.006336481954591766,0.0002688753227069541,0,24,2,0.05272698402404785,0,0.0,expectation,all
30,standard,12,6,2,xy,0,mvo,0.0009097060882948787,-0.007594810763814287,0.008504516852109165,0.0061771176787133,0.0005944027105058267,0,24,2,0.0481109619140625,0,0.0,expectation,all
40,standard,12,6,2,xy,0,mvo,-0.006919504271899003,-0.017307730129085167,0.010388225857186163,-0.0015176813065056888,0.0001883090197613301,0,24,2,0.049909114837646484,0,0.0,expectation,all
50,standard,12,6,2,xy,0,mvo,-0.0034487587453396395,-0.013192114766273215,0.009743356020933576,0.0018869724767857665,4.261175077417573e-05,0,24,2,0.05770301818847656,0,0.0,expectation,all
10,adapt,12,6,6,xy,0,mvo,-0.008288815159095282,-0.016377773558908123,0.008088958399812841,-0.0031570281790541596,0.002527348202373743,0,6,6,1.5555939674377441,0,0.0,expectation,all
20,adapt,12,6,6,xy,0,mvo,0.0016679674324517769,-0.007780343701441528,0.009448311133893304,0.006810542126893562,0.0010916381853119975,0,2,2,0.45984601974487305,0,0.0,expectation,all
30,adapt,12,6,6,xy,0,mvo,0.0009319832192764604,-0.007594810763814287,0.008526793983090747,0.005982115621314759,0.0010885304194806576,0,2,2,0.45467591285705566,0,0.0,expectation,all
40,adapt,12,6,6,xy,0,mvo,-0.0068890815480542635,-0.017307730129085167,0.010418648581030903,-0.0007125865445533307,0.0018761615656203636,0,3,3,0.725043535232544,0,0.0,expectation,all
50,adapt,12,6,6,xy,0,mvo,-0.0034309455138888797,-0.013192114766273215,0.009761169252384336,0.00198441156452896,0.001091442622176656,0,2,2,0.45226240158081055,0,0.0,expectation,all
10,standard,16,8,2,xy,0,mvo,-0.012925653898131651,-0.024844118423671912,0.01191846452554026,-0.0076296010519617645,4.255442255609855e-05,0,32,2,2.1671581268310547,0,0.0,expectation,all
20,standard,16,8,2,xy,0,mvo,0.0008792153450260457,-0.010394533890121512,0.011273749235147557,0.0059244269368318,4.725553444815732e-06,0,32,2,2.1173391342163086,0,0.0,expectation,all
30,standard,16,8,2,xy,0,mvo,0.0029746506401316483,-0.007447133152424049,0.010421783792555697,0.007148924451533725,2.6166179821711425e-06,0,32,2,2.1536054611206055,0,0.0,expectation,all
40,standard,16,8,2,xy,0,mvo,-0.0120095955462097,-0.02277296623291989,0.01076337068671019,-0.0070186985642367,2.1699085213163372e-05,0,32,2,2.1388769149780273,0,0.0,expectation,all
50,standard,16,8,2,xy,0,mvo,-0.005544225939103217,-0.019882650567062995,0.014338424627959779,0.0005759343584891885,4.365924745053041e-05,0,32,2,2.1610631942749023,0,0.0,expectation,all
10,adapt,16,8,6,xy,0,mvo,-0.012912736240757774,-0.024844118423671912,0.011931382182914138,-0.00782935857091549,7.77694540094054e-05,0,2,2,25.258114337921143,0,0.0,expectation,all
20,adapt,16,8,6,xy,0,mvo,0.0009075299653668012,-0.010394533890121512,0.011302063855488313,0.006162414366290273,0.00010273963562971083,0,4,4,96.39461016654968,0,0.0,expectation,all
30,adapt,16,8,6,xy,0,mvo,0.0029479635702280224,-0.007447133152424049,0.010395096722652071,0.007846748093634082,7.393617190929835e-05,0,6,6,156.43830800056458,0,0.0,expectation,all
40,adapt,16,8,6,xy,0,mvo,-0.012010604288942574,-0.02277296623291989,0.010762361943977316,-0.006742533017383241,0.00021397290637707712,0,6,6,171.1148018836975,0,0.0,expectation,all
50,adapt,16,8,6,xy,0,mvo,-0.005570973065657051,-0.019882650567062995,0.014311677501405945,0.0013938091643346778,0.00017701944934839329,0,6,6,161.73592567443848,0,0.0,expectation,all
10,standard,20,10,2,xy,0,mvo,-0.016170238989470558,-0.03211042287000047,0.01594018388052991,-0.009588331041850374,2.8380991445743356e-06,0,40,2,69.05232858657837,0,0.0,expectation,all
20,standard,20,10,2,xy,0,mvo,0.0016665452629855769,-0.01320773355009626,0.014874278813081836,0.007798725719673706,3.101240895031574e-06,0,40,2,65.51506519317627,0,0.0,expectation,all
